what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318240899164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241190362
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318241203817
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318241212419
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318241223738
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318241246642
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318241297748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241300936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241301868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241304837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241629547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241640617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241664103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241682172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241825367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241883039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318241887910
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318241889068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242027673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242065344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318242082358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318242090883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318242095911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318242096046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318242105489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318242106961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242115529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242116358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242119852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242124822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242126696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242751463
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318242759458
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318242768621
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318242780175
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318242784435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318242833889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1318242836163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242836177
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318242836781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242892229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242920897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242921055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318242926629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1318242936317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318242939142
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318242983000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242990187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242991087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318242994826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243612080
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318243614413
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318243642528
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318243645132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1318243690549
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318243720559
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318243754162
