what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684199391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684200118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684201072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684349951
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1316684370943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684392669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684393462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684394519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684435650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1316684438732
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316684441115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316684455183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684509286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684510119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684511077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684668591
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1316684672058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684686778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316684708809
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1316684718132
