what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444311906
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444316959
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444321083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319444363238
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444364016
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444365132
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444370441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319444376074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444386953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444399722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444440212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444448085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444545160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444546147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444547473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444548298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1319444575313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1319444575671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1319444576016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444580134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444581056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444582579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444583237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444591810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444592748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444596428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444647691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444663414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444673268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444675012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444702243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444703017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444724520
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444727286
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444730052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444778225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444779004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444780432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444789924
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319444804574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444814448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444824081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444856232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319444872817
